"日期","交易類別","數量","說明","代號","賬戶類別","價格","金額"
"5/7/2026","買進","3","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/08/2026","LITE","融資","871.08","-2,613.24"
"5/7/2026","買進","3","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/08/2026","LITE","融資","901.30","-2,703.90"
"5/6/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","975.58","-975.58"
"5/6/2026","買進","2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","970.45","-1,940.90"
"5/6/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","976.98","-976.98"
"5/6/2026","買進","4","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","931.56","-3,726.24"
"5/6/2026","買進","2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","960.00","-1,920.00"
"5/6/2026","買進","2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","960.54","-1,921.08"
"5/6/2026","買進","2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","980.60","-1,961.20"
"5/6/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","970.45","-970.45"
"5/6/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/07/2026","LITE","融資","965.00","-965.00"
"5/5/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/06/2026","LITE","融資","1,010.41","-1,010.41"
"5/5/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/06/2026","LITE","融資","1,005.00","-1,005.00"
"5/5/2026","賣出","-2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/06/2026","LITE","融資","1,000.00","1,999.95"
"5/5/2026","賣出","-2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/06/2026","LITE","融資","1,015.28","2,030.51"
"5/5/2026","賣出","-2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/06/2026","LITE","融資","1,010.84","2,021.63"
